function,dimension,algorithm,best_y,total_time,total_sample,first_reach_sample,timeout_reached
levy,10,basinhopping,6.419000148773193,11.434151887893677,23400,23257,False
levy,10,basinhopping,13.348733901977539,9.451439380645752,19153,18812,False
levy,10,basinhopping,23.923154830932617,10.700512886047363,24425,18469,False
levy,10,basinhopping,24.474464416503906,12.740034341812134,25170,22209,False
levy,10,basinhopping,33.90901565551758,9.722578287124634,21182,18498,False
levy,10,differential_evolution,7.667633617879782e-15,21.861389636993408,30011,30004,False
levy,10,differential_evolution,7.668323102698847e-15,22.870455741882324,31211,31210,False
levy,10,differential_evolution,7.67685187744475e-15,24.390038013458252,33011,32887,False
levy,10,differential_evolution,7.683767054426135e-15,21.194794178009033,33461,33430,False
levy,10,differential_evolution,7.692545703891478e-15,22.169009923934937,31511,31461,False
levy,10,direct,0.07744227349758148,4.276957273483276,10257,8772,False
levy,10,direct,0.07744227349758148,4.282700061798096,10257,8772,False
levy,10,direct,0.07744227349758148,4.282969951629639,10257,8772,False
levy,10,direct,0.07744227349758148,4.503031253814697,10257,8772,False
levy,10,direct,0.07744227349758148,5.467106580734253,10257,8772,False
levy,10,dual_annealing,2.186423785077718e-12,43.6981725692749,21046,4716,False
levy,10,dual_annealing,4.060617814216627e-11,33.333330154418945,21354,3285,False
levy,10,dual_annealing,5.6794974973017887e-11,34.914406299591064,21431,4223,False
levy,10,dual_annealing,3.076858212658351e-10,44.97808575630188,22993,4772,False
levy,10,dual_annealing,9.089359265246344e-10,30.128716230392456,20815,3833,False
levy,10,shgo,inf,290.85226941108704,0,0,False
levy,10,shgo,inf,338.0812909603119,0,0,False
levy,10,shgo,inf,343.6626889705658,0,0,False
levy,10,shgo,inf,360.7376413345337,0,0,False
levy,10,shgo,inf,369.78662276268005,0,0,False
levy,10,simulated_annealing,3.280965756857768e-05,11.459330320358276,20001,17098,False
levy,10,simulated_annealing,3.941192335332744e-05,13.76506519317627,20001,19696,False
levy,10,simulated_annealing,4.33836285083089e-05,10.508044481277466,20001,19095,False
levy,10,simulated_annealing,4.975309275323525e-05,10.23092770576477,20001,17580,False
levy,10,simulated_annealing,5.1575188990682364e-05,11.50860857963562,20001,18497,False
levy,50,basinhopping,88.88473510742188,50.74970746040344,116904,107496,False
levy,50,basinhopping,105.08604431152344,49.48434782028198,105768,105258,False
levy,50,basinhopping,109.70216369628906,50.20143699645996,119763,110520,False
levy,50,basinhopping,128.35446166992188,45.95036816596985,90060,84795,False
levy,50,basinhopping,142.9447784423828,47.254838705062866,107217,82281,False
levy,50,differential_evolution,7.859549260870978e-15,474.337717294693,717801,717791,False
levy,50,differential_evolution,5.953669225374283e-14,484.3745803833008,750801,750769,False
levy,50,differential_evolution,0.09198269993066788,174.83642148971558,281301,278135,False
levy,50,differential_evolution,0.12535466253757477,160.58631443977356,263403,263352,False
levy,50,differential_evolution,0.469341903924942,152.2682204246521,245301,243135,False
levy,50,direct,13.775866508483887,0.24332356452941895,299,199,False
levy,50,direct,13.775866508483887,0.2438976764678955,299,199,False
levy,50,direct,13.775866508483887,0.26033949851989746,299,199,False
levy,50,direct,13.775866508483887,0.37987399101257324,299,199,False
levy,50,direct,13.775866508483887,0.4005849361419678,299,199,False
levy,50,dual_annealing,2.2385451131645695e-11,159.2581431865692,118157,98327,False
levy,50,dual_annealing,2.346539074160603e-10,196.1526894569397,112904,39066,False
levy,50,dual_annealing,5.315187179277814e-10,179.99926924705505,121931,76582,False
levy,50,dual_annealing,7.657683931405757e-10,177.23224711418152,117494,42390,False
levy,50,dual_annealing,3.2070610611611983e-09,164.66810703277588,115301,39000,False
levy,50,shgo,inf,600.1666650772095,0,0,True
levy,50,shgo,inf,600.1689064502716,0,0,True
levy,50,shgo,inf,600.1697540283203,0,0,True
levy,50,shgo,inf,600.171228647232,0,0,True
levy,50,shgo,inf,600.1737489700317,0,0,True
levy,50,simulated_annealing,0.00036619266029447317,56.111342430114746,100001,92683,False
levy,50,simulated_annealing,0.00039159617153927684,50.365164041519165,100001,92871,False
levy,50,simulated_annealing,0.00039564407779835165,50.91766309738159,100001,97867,False
levy,50,simulated_annealing,0.0004041702195536345,53.67580246925354,100001,95989,False
levy,50,simulated_annealing,0.000415777787566185,48.999716997146606,100001,99471,False
levy,100,basinhopping,209.8738250732422,112.05269145965576,231809,221394,False
levy,100,basinhopping,222.45301818847656,99.4272358417511,191705,185645,False
levy,100,basinhopping,238.61788940429688,100.30474281311035,195454,187766,False
levy,100,basinhopping,280.4336242675781,104.61664605140686,217318,216611,False
levy,100,basinhopping,293.3189697265625,105.25939416885376,222731,222630,False
levy,100,differential_evolution,2.26334810256958,1378.377670288086,886803,886702,False
levy,100,differential_evolution,2.8564062118530273,464.43167209625244,721601,721221,False
levy,100,differential_evolution,2.958712577819824,1086.6202855110168,747707,747606,False
levy,100,differential_evolution,3.5207931995391846,541.6464593410492,797207,797005,False
levy,100,differential_evolution,4.238808631896973,487.7044017314911,740409,740106,False
levy,100,direct,27.411880493164062,0.36197853088378906,599,399,False
levy,100,direct,27.411880493164062,0.36556482315063477,599,399,False
levy,100,direct,27.411880493164062,0.3875918388366699,599,399,False
levy,100,direct,27.411880493164062,0.39153599739074707,599,399,False
levy,100,direct,27.411880493164062,0.5854794979095459,599,399,False
levy,100,dual_annealing,5.779855066778694e-11,403.97424125671387,253531,140511,False
levy,100,dual_annealing,9.029264835813677e-11,398.273051738739,250198,123797,False
levy,100,dual_annealing,1.035546648431307e-10,418.2446451187134,265550,146468,False
levy,100,dual_annealing,2.5067969922076827e-09,316.1746737957001,249794,130513,False
levy,100,dual_annealing,0.0004961314843967557,416.7055342197418,264136,153236,False
levy,100,gurobi,-8.870063509968012e-07,7.783837080001831,1,0,
levy,100,gurobi,-8.870063509968012e-07,7.818819999694824,1,0,
levy,100,gurobi,-8.870063509968012e-07,7.895462989807129,1,0,
levy,100,gurobi,-8.870063509968012e-07,7.916747093200684,1,0,
levy,100,gurobi,-8.870063509968012e-07,8.117372035980225,1,0,
levy,100,shgo,inf,600.1769850254059,0,0,True
levy,100,shgo,inf,600.177304983139,0,0,True
levy,100,shgo,inf,600.1794836521149,0,0,True
levy,100,shgo,inf,600.1802225112915,0,0,True
levy,100,shgo,inf,600.1829316616058,0,0,True
levy,100,simulated_annealing,0.0007643626886419952,107.87620878219604,200001,192390,False
levy,100,simulated_annealing,0.0008128848276101053,112.77902102470398,200001,197551,False
levy,100,simulated_annealing,0.000870593125000596,105.65358567237854,200001,198968,False
levy,100,simulated_annealing,0.0009145475924015045,113.88384056091309,200001,199961,False
levy,100,simulated_annealing,0.001014466630294919,106.16296076774597,200001,196553,False
levy,200,basinhopping,583.3246459960938,213.91986989974976,422043,421842,False
levy,200,basinhopping,655.5451049804688,158.82569646835327,328719,325905,False
levy,200,basinhopping,659.6383666992188,190.01260542869568,392508,391905,False
levy,200,basinhopping,661.0394897460938,199.85300660133362,400937,400736,False
levy,200,basinhopping,745.038818359375,176.87381076812744,347211,347010,False
levy,200,differential_evolution,16.176368713378906,1745.7907485961914,2397201,2395955,False
levy,200,differential_evolution,21.426015853881836,1228.3978695869446,1677201,1663350,False
levy,200,differential_evolution,22.939533233642578,2857.3913946151733,1708407,1708005,False
levy,200,differential_evolution,26.40784454345703,1298.8658785820007,1813221,1810407,False
levy,200,differential_evolution,31.015865325927734,1457.8960490226746,1974201,1969956,False
levy,200,direct,54.68391036987305,0.6158578395843506,1199,799,False
levy,200,direct,54.68391036987305,0.6991844177246094,1199,799,False
levy,200,direct,54.68391036987305,0.7834315299987793,1199,799,False
levy,200,direct,54.68391036987305,0.8299858570098877,1199,799,False
levy,200,direct,54.68391036987305,1.0082135200500488,1199,799,False
levy,200,dual_annealing,3.886011235021414e-10,890.836963891983,573866,516238,False
levy,200,dual_annealing,1.0327618760186397e-09,880.3538608551025,564821,399850,False
levy,200,dual_annealing,0.0005030460306443274,893.3722381591797,575072,352694,False
levy,200,dual_annealing,0.0007213206263259053,877.3793315887451,560198,418397,False
levy,200,dual_annealing,0.0011930338805541396,857.2894463539124,544520,360310,False
levy,200,gurobi,-0.000163713388551661,23.678268909454346,1,0,
levy,200,gurobi,-0.000163713388551661,23.73397994041443,1,0,
levy,200,gurobi,-0.000163713388551661,23.755292892456055,1,0,
levy,200,gurobi,-0.000163713388551661,23.85766100883484,1,0,
levy,200,gurobi,-0.000163713388551661,24.009706020355225,1,0,
levy,200,shgo,inf,600.1361110210419,0,0,True
levy,200,shgo,inf,600.1681571006775,0,0,True
levy,200,shgo,inf,600.1699604988098,0,0,True
levy,200,shgo,inf,600.1758589744568,0,0,True
levy,200,shgo,inf,600.1794726848602,0,0,True
levy,200,simulated_annealing,0.0015620434423908591,230.43149042129517,400001,397985,False
levy,200,simulated_annealing,0.001704743248410523,246.75187849998474,400001,394782,False
levy,200,simulated_annealing,0.0018040956929326057,241.92638444900513,400001,399999,False
levy,200,simulated_annealing,0.0018163406057283282,244.59502840042114,400001,381946,False
levy,200,simulated_annealing,0.0018878390546888113,240.41690254211426,400001,395097,False
michalewicz,10,basinhopping,-3.833463668823242,8.46357250213623,24297,21546,False
michalewicz,10,basinhopping,-3.5523879528045654,8.260493278503418,28847,7596,False
michalewicz,10,basinhopping,-3.38969349861145,11.230322360992432,25982,16463,False
michalewicz,10,basinhopping,-3.3825292587280273,2.9663145542144775,28235,21160,False
michalewicz,10,basinhopping,-3.1046085357666016,12.261840581893921,26035,4797,False
michalewicz,10,differential_evolution,-9.585487365722656,3.3710830211639404,19211,19197,False
michalewicz,10,differential_evolution,-9.54973030090332,9.145821809768677,40211,39747,False
michalewicz,10,differential_evolution,-9.414070129394531,4.136682033538818,21911,21871,False
michalewicz,10,differential_evolution,-9.385286331176758,4.356168746948242,24161,23835,False
michalewicz,10,differential_evolution,-9.312386512756348,12.779406070709229,28288,28277,False
michalewicz,10,direct,-8.199028968811035,0.5406010150909424,6587,6373,False
michalewicz,10,direct,-8.199028968811035,0.5658590793609619,6587,6373,False
michalewicz,10,direct,-8.199028968811035,0.5758686065673828,6587,6373,False
michalewicz,10,direct,-8.199028968811035,0.5975351333618164,6587,6373,False
michalewicz,10,direct,-8.199028968811035,0.9873924255371094,6587,6373,False
michalewicz,10,dual_annealing,-9.660104751586914,18.94353723526001,20980,17383,False
michalewicz,10,dual_annealing,-9.660080909729004,19.50058341026306,21574,21080,False
