dimension,function,solver,algorithm,obj_mean,obj_min,obj_max,time_mean,time_min,time_max,num_seeds,num_timeout
100,Ackley,scipy,differential_evolution,20.644190979003906,20.422969818115234,20.78907012939453,5.128110265731811,4.160829067230225,5.794319152832031,5,0
100,Ackley,scipy,direct,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,2.3635009288787843,2.0400359630584717,2.6486551761627197,5,0
100,Ackley,scipy,dual_annealing,0.0021448135375976562,0.0019884109497070312,0.0023107528686523438,154.4502429008484,152.9779348373413,155.29789233207703,5,0
100,Ackley,scipy,shgo,,,,300.17420625686646,300.1315014362335,300.19517064094543,5,5
100,Levy,gurobi,gurobi,8.179435634449261,-4.562943857307485e-07,49.07661608816749,14.69814928372701,0.14261293411254883,18.930143117904663,6,0
100,Levy,scipy,basinhopping,635.8636474609375,517.0986328125,764.9129638671875,23.906313276290895,16.480178833007812,32.1140022277832,5,0
100,Levy,scipy,differential_evolution,88.2490020751953,33.249542236328125,148.3484649658203,301.33598217964175,300.57219338417053,302.2677550315857,5,5
100,Levy,scipy,direct,9.618610382080078,9.618610382080078,9.618610382080078,2.6185755729675293,2.4890103340148926,2.788398265838623,5,0
100,Levy,scipy,dual_annealing,0.0009028797854005926,4.27151231052747e-11,0.0024311800953000784,451.4409611225128,375.98920702934265,500.24406361579895,5,2
100,Levy,scipy,shgo,,,,300.1673897743225,300.16104912757874,300.1736912727356,5,5
100,Michalewicz,gurobi,gurobi,-101.72668545547211,-102.69368600743275,-100.75968490351146,3.0738474130630493,2.263216972351074,4.047796964645386,10,0
100,Michalewicz,scipy,basinhopping,-17.356399726867675,-19.667457580566406,-15.02560806274414,108.67238659858704,93.22622847557068,127.8559820652008,5,0
100,Michalewicz,scipy,differential_evolution,-29.875666046142577,-31.43437957763672,-29.321029663085938,300.65333757400515,300.42203736305237,300.79491448402405,5,5
100,Michalewicz,scipy,direct,-36.390281677246094,-36.390281677246094,-36.390281677246094,3.893853235244751,2.991455316543579,4.180285930633545,5,0
100,Michalewicz,scipy,dual_annealing,-99.41012115478516,-99.44583892822266,-99.38614654541016,207.84572801589965,145.1639325618744,281.68956565856934,5,0
100,Michalewicz,scipy,shgo,,,,300.16852979660035,300.1403806209564,300.18574118614197,5,5
