solver,algorithm,dimension,hidden_size,nn_fname,seed,x,obj_val,time_elapsed,timeout_reached
scipy,direct,10,16,nn_one_layer_levy_10_16,2,"[0.0, 0.0, 2.222222222222223, 2.222222222222223, 0.0, 2.222222222222223, 2.222222222222223, 2.222222222222223, 2.222222222222223, 0.0]",-30.522525787353516,20.509477138519287,False
scipy,direct,10,16,nn_one_layer_levy_10_16,3,"[0.0, 0.0, 2.222222222222223, 2.222222222222223, 0.0, 2.222222222222223, 2.222222222222223, 2.222222222222223, 2.222222222222223, 0.0]",-30.522525787353516,20.284559726715088,False
scipy,direct,10,16,nn_one_layer_levy_10_16,4,"[0.0, 0.0, 2.222222222222223, 2.222222222222223, 0.0, 2.222222222222223, 2.222222222222223, 2.222222222222223, 2.222222222222223, 0.0]",-30.522525787353516,20.44589877128601,False
scipy,dual_annealing,10,16,nn_one_layer_levy_10_16,0,"[1.3564831912517548, 3.978260565549135, -1.0261722624018148, 1.9269886799156666, 2.448313632979989, 2.5570516511797905, 2.280440804817772, 1.6376779098063707, 0.994258058422929, 1.6587711051106453]",-30.522525787353516,54.04278540611267,False
scipy,dual_annealing,10,16,nn_one_layer_levy_10_16,1,"[-1.7081842049956322, 2.7168316594325006, 1.5471222139894962, 2.165786035358906, 1.832781596109271, 2.336189982786891, 0.6041500072460622, 2.2189237475395203, 2.6892549842596054, 3.4244352160021663]",-30.522525787353516,54.11561965942383,False
scipy,dual_annealing,10,16,nn_one_layer_levy_10_16,2,"[2.3189064724720083, 0.09115754638332874, 0.10525223985314369, 0.09382769744843245, 2.139670182019472, 2.787925437092781, 2.28952463157475, 0.7876420464453986, 1.809647835791111, 1.5234035067260265]",-30.522525787353516,53.938334941864014,False
scipy,dual_annealing,10,16,nn_one_layer_levy_10_16,3,"[3.761317951604724, 4.14810815313831, 0.39133706502616405, 0.7466014688834548, 1.3696243552840315, 1.6004150882663453, -0.2871070969849825, 2.6926897950470448, 2.2472033353460574, 0.9333110732259229]",-30.522525787353516,53.606409311294556,False
scipy,dual_annealing,10,16,nn_one_layer_levy_10_16,4,"[1.586386820068583, -3.016676811792422, 0.5000304211862385, 0.6727222746994812, 1.337322018400834, 2.134046157822013, 0.37750956416130066, 1.5841414951719344, 2.238657921552658, -1.1757125705480576]",-30.522525787353516,53.6618230342865,False
scipy,shgo,10,16,nn_one_layer_levy_10_16,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-6.386991500854492,237.4417028427124,False
scipy,shgo,10,16,nn_one_layer_levy_10_16,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-6.386991500854492,239.94518113136292,False
scipy,shgo,10,16,nn_one_layer_levy_10_16,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-6.386991500854492,238.98503518104553,False
scipy,shgo,10,16,nn_one_layer_levy_10_16,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-6.386991500854492,238.04314517974854,False
