function,solver,algorithm,dimension,seed,x,obj_val,time_elapsed,timeout_reached
Levy,scipy,differential_evolution,10,4,"[1.0000000027180844, 1.0000000058975989, 0.9999999970535844, 0.9999999979456664, 1.000000002899204, 1.0000000032952916, 1.0000000044074353, 1.0000000020819422, 1.0000000036946988, 1.0000000021663435]",7.699471892301177e-15,50.75152921676636,False
Levy,scipy,direct,10,0,"[0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405, 0.9876543209876552, 0.9876543209876552, 0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405]",0.13359348475933075,2.812875509262085,False
Levy,scipy,direct,10,1,"[0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405, 0.9876543209876552, 0.9876543209876552, 0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405]",0.13359348475933075,2.814983606338501,False
Levy,scipy,direct,10,2,"[0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405, 0.9876543209876552, 0.9876543209876552, 0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405]",0.13359348475933075,2.6678144931793213,False
Levy,scipy,direct,10,3,"[0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405, 0.9876543209876552, 0.9876543209876552, 0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405]",0.13359348475933075,2.5828707218170166,False
Levy,scipy,direct,10,4,"[0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405, 0.9876543209876552, 0.9876543209876552, 0.9876543209876552, 0.7407407407407405, 0.7407407407407405, 0.7407407407407405]",0.13359348475933075,2.586562395095825,False
Levy,scipy,dual_annealing,10,0,"[1.000008390233623, 0.9999933023112748, 1.0000047713311733, 0.9999958510779311, 0.9999931102080434, 1.000001315399372, 0.99999650663354, 0.9999971729590426, 1.0000023325247573, 1.0000043510984782]",1.599512466921027e-10,44.86740493774414,False
Levy,scipy,dual_annealing,10,1,"[0.9999987737499109, 1.0000017722443346, 0.9999970133091304, 0.9999969198424101, 1.0000021976658615, 0.9999976521109916, 0.9999952068901192, 1.0000060442163587, 1.000004169988094, 1.0000181429582973]",7.702478932447576e-11,42.92842435836792,False
Levy,scipy,dual_annealing,10,2,"[1.000001402474748, 0.99999811499293, 0.9999998460820971, 1.0000001937087817, 0.9999991566404309, 1.0000008198892192, 0.9999986793819501, 0.9999975043332259, 1.0000006946576163, 0.9999986710928437]",8.981958406206747e-12,41.19576168060303,False
Levy,scipy,dual_annealing,10,3,"[0.9999986609704383, 1.0000036788851072, 0.9999979473684873, 0.9999972966475691, 0.9999989718530647, 1.000001222821094, 0.9999997169116684, 1.0000020470290958, 1.0000025754527433, 1.000010416226499]",2.8357002510026597e-11,41.70817804336548,False
Levy,scipy,dual_annealing,10,4,"[0.9999988950384349, 0.9999974351299774, 1.0000038787994472, 1.0000041645844862, 1.0000045364964152, 1.0000014864837998, 1.000005333108629, 1.0000085783866848, 1.000003261502644, 1.0000031565906367]",9.008285783984604e-11,36.6948184967041,False
Levy,scipy,shgo,10,0,,,300.18433928489685,True
Levy,scipy,shgo,10,1,,,300.1852812767029,True
Levy,scipy,shgo,10,2,,,300.20504331588745,True
Levy,scipy,shgo,10,3,,,300.0973906517029,True
Levy,scipy,shgo,10,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.442601203918457,291.7611153125763,False
Michalewicz,gurobi,gurobi,10,0,"[2.1983240530964774, 1.5708995874541711, 1.28263414370438, 1.923951120456302, 1.7208342716399767, 1.5708995874287222, 1.454370452812511, 1.7562267682089985, 1.655786400630842, 1.5708169897863258]",-9.77279260995416,0.5137679576873779,False
Michalewicz,gurobi,gurobi,10,1,"[2.1983240530964774, 1.5708995874541711, 1.28263414370438, 1.923951120456302, 1.7208342716399767, 1.5708995874287222, 1.454370452812511, 1.7562267682089985, 1.655786400630842, 1.5708169897863258]",-9.77279260995416,0.52406907081604,False
Michalewicz,gurobi,gurobi,10,2,"[2.1983240530964774, 1.5708995874541711, 1.28263414370438, 1.923951120456302, 1.7208342716399767, 1.5708995874287222, 1.454370452812511, 1.7562267682089985, 1.655786400630842, 1.5708169897863258]",-9.77279260995416,0.555305004119873,False
Michalewicz,gurobi,gurobi,10,3,"[2.1983240530964774, 1.5708995874541711, 1.28263414370438, 1.923951120456302, 1.7208342716399767, 1.5708995874287222, 1.454370452812511, 1.7562267682089985, 1.655786400630842, 1.5708169897863258]",-9.77279260995416,0.5044999122619629,False
Michalewicz,gurobi,gurobi,10,4,"[2.1983240530964774, 1.5708995874541711, 1.28263414370438, 1.923951120456302, 1.7208342716399767, 1.5708995874287222, 1.454370452812511, 1.7562267682089985, 1.655786400630842, 1.5708169897863258]",-9.77279260995416,0.5431621074676514,False
Michalewicz,scipy,basinhopping,10,0,"[2.1243195420327057, 1.5500161208906098, 2.8268961722346497, -2.9216985275838114, 0.08086233209256571, 0.7404041545168021, -1.1146620948812038, 3.8973296865004583, 0.7472187537005093, 8.035638608433821]",-2.9480772018432617,3.1906180381774902,False
Michalewicz,scipy,basinhopping,10,1,"[4.397745497170616, 1.6264782800877033, 1.8382412165775857, 2.5249168490058627, 4.201092036499707, 0.3435034431592335, -4.023897669337877, 1.853435664971067, 1.2766467202261347, 1.8772082931341179]",-3.4387099742889404,2.558018445968628,False
Michalewicz,scipy,basinhopping,10,2,"[1.4908522143412148, 0.11059175372280836, 1.3613955478026485, 1.3811837518584567, 1.0050642644906589, 0.3277298634882434, 1.07346584030143, 1.9397339558506248, 1.2879544067871966, 0.26477227944667103]",-2.434706211090088,3.2814435958862305,False
Michalewicz,scipy,basinhopping,10,3,"[2.102654210131435, 2.882638529097238, 1.3240762102093369, 2.4908929577090007, 3.4430633423275174, 2.9336380982532146, -1.739511652101256, 1.6324331301919766, 1.9191501920855303, 1.0498059892507428]",-2.25285005569458,2.717736005783081,False
Michalewicz,scipy,basinhopping,10,4,"[3.7663740666228023, 1.598231191918474, 3.785060573708291, 2.4022267730671327, 1.4307705779704332, 0.876941837143863, 2.2440149363983806, 0.13952437413492835, 0.24737144923513266, 1.8504996751770115]",-2.590179920196533,3.3462164402008057,False
Michalewicz,scipy,differential_evolution,10,0,"[2.208718781395021, 1.5644849432470365, 1.277424915571118, 1.1228540875789863, 0.9982492764220477, 1.5684435548182571, 1.456840784832957, 1.3631178283843293, 1.276492697214025, 1.5706829663795692]",-9.386163711547852,18.953245162963867,False
Michalewicz,scipy,differential_evolution,10,1,"[2.217807796470583, 1.581082585205055, 1.2773938943816647, 1.1247278931402367, 1.7193909296034275, 1.5629583242341225, 1.4574029455386872, 1.3608479652146588, 1.2802568249419584, 1.215986463153028]",-9.463889122009277,11.283044576644897,False
Michalewicz,scipy,differential_evolution,10,2,"[2.1871828147667873, 1.5748364498181793, 1.2879006181448935, 1.1067035118479385, 1.7250103961668897, 1.5778406747167912, 1.453975256711037, 1.3609097490757076, 1.283780349825457, 1.5723347706472732]",-9.54019546508789,16.29584503173828,False
Michalewicz,scipy,differential_evolution,10,3,"[2.2000021746107645, 1.5757314630344559, 1.2875053795171356, 1.9266935634000175, 1.7149107743675667, 1.5728393744912346, 1.8716975344237974, 1.3606832852777284, 1.2887662988723854, 1.8549950953414605]",-9.466947555541992,12.565757274627686,False
Michalewicz,scipy,differential_evolution,10,4,"[2.1751470382827804, 1.584911145801899, 1.2858248425519248, 1.9175077494888704, 1.7287500156176188, 1.5730777379602294, 1.454738567559528, 1.754475282906727, 1.6550246228101106, 1.8596291512710101]",-9.565300941467285,21.628814697265625,False
Michalewicz,scipy,direct,10,0,"[2.1525727441263394, 1.5707963267948966, 1.2993006653735564, 2.928274633901597, 2.617993877991494, 1.5707963267948966, 1.8810770827049996, 2.617993877991494, 1.9586472716825256, 1.5707963267948966]",-7.608747482299805,1.9374520778656006,False
Michalewicz,scipy,direct,10,1,"[2.1525727441263394, 1.5707963267948966, 1.2993006653735564, 2.928274633901597, 2.617993877991494, 1.5707963267948966, 1.8810770827049996, 2.617993877991494, 1.9586472716825256, 1.5707963267948966]",-7.608747482299805,1.889061450958252,False
Michalewicz,scipy,direct,10,2,"[2.1525727441263394, 1.5707963267948966, 1.2993006653735564, 2.928274633901597, 2.617993877991494, 1.5707963267948966, 1.8810770827049996, 2.617993877991494, 1.9586472716825256, 1.5707963267948966]",-7.608747482299805,1.9852068424224854,False
Michalewicz,scipy,direct,10,3,"[2.1525727441263394, 1.5707963267948966, 1.2993006653735564, 2.928274633901597, 2.617993877991494, 1.5707963267948966, 1.8810770827049996, 2.617993877991494, 1.9586472716825256, 1.5707963267948966]",-7.608747482299805,1.8365139961242676,False
Michalewicz,scipy,direct,10,4,"[2.1525727441263394, 1.5707963267948966, 1.2993006653735564, 2.928274633901597, 2.617993877991494, 1.5707963267948966, 1.8810770827049996, 2.617993877991494, 1.9586472716825256, 1.5707963267948966]",-7.608747482299805,1.9447886943817139,False
Michalewicz,scipy,dual_annealing,10,0,"[2.20190367999777, 1.5707420847613012, 1.285079390325671, 1.9232343383258161, 1.720670245071254, 1.5709170655282705, 1.4540440179619551, 1.755954472891549, 1.6556508281270208, 1.57077867368407]",-9.6600341796875,13.11742615699768,False
Michalewicz,scipy,dual_annealing,10,1,"[2.203111806980634, 1.5701235482174614, 1.284784550104292, 1.9231383763895948, 1.7204955512153344, 1.5711064847784684, 1.454386378806043, 1.7562345789415943, 1.6556575540727172, 1.5707580362425357]",-9.66007137298584,11.820146560668945,False
Michalewicz,scipy,dual_annealing,10,2,"[2.2018372079647346, 1.5708862878604641, 1.2850791832200796, 1.9232367750093395, 1.7206588718755, 1.570878076432824, 1.4543585100321783, 1.7559772262186524, 1.655662742040798, 1.5707478904602983]",-9.660097122192383,12.436556100845337,False
Michalewicz,scipy,dual_annealing,10,3,"[2.2019151083913746, 1.5705123371995873, 1.2848292043179281, 1.9228609109160253, 1.720767939173685, 1.570836958701391, 1.4544715261068841, 1.7559978696853396, 1.6558079593735888, 1.570861219184149]",-9.660076141357422,11.91726565361023,False
Michalewicz,scipy,dual_annealing,10,4,"[2.203414238544057, 1.570468860739008, 1.2850591639562774, 1.9232925909979226, 1.720676479441141, 1.5706793206721459, 1.4544135251659664, 1.7558668798150645, 1.655722754305895, 1.5709663247616996]",-9.660045623779297,12.613178491592407,False
